name;price;yearOfRegistration;powerPS;kilometer;monthOfRegistration
BMW_435i_Sport_coupe;39600;2014;306;30000;7
BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!;23490;2013;143;40000;6
Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik;22999;2012;303;50000;4
Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach;20300;2010;204;80000;12
A5_Sportback_2.7_Tdi;18300;2011;190;125000;5
BMW_325i_Aut.;18000;2007;218;20000;5
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine;17999;2011;190;70000;3
BMW_325_i_Cabrio_wenig_Kilometer;14999;2007;218;50000;8
BMW_120i_Cabrio_mit_M_Paket;14800;2008;170;125000;4
Ford_C___Max_Titanium_1_0_L_EcoBoost;14500;2014;125;30000;8
Audi_A1_1.2_TFSI_S_Line;14500;2013;86;60000;4
Mercedes_Benz_B180_Automatik;13500;2012;109;150000;7
BMW_E60_530XD;12500;2006;231;150000;11
Abschleppwagen_Vw_LT_195.000_gruene_Plakette_T?V_8/2017;11900;2002;129;150000;11
Opel_Astra_1.4_mit_vielen_Extras!!!!;10900;2017;101;50000;3
Volkswagen_Scirocco_1.4_TSI_Sport;10400;2009;160;100000;4
"Jeep_Grand_Cherokee_""Overland""";9800;2004;163;125000;8
Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!;9700;2008;160;150000;8
unfall_Opel_insignia_voll_Ausstattung__T?V_neu__ideal_fuer_Bastler;8390;2009;0;150000;0
Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl;8000;2005;185;150000;8
BMW_120d_DPF;7999;2007;177;150000;8
Bmw_318_d_Sport_Edition_Facelift;7999;2008;143;150000;12
Mercedes_Benz_C_180_T_Kompressor_Avantgarde;7999;2008;156;150000;10
Nissan_Micra_1.2_CVT;7999;2013;80;40000;4
VW_Golf_6___Klima___Alu___Scheckheft_!!!;7750;2017;80;100000;1
Ford_C_MAX_2.0_TDCi_DPF_Titanium;7550;2007;136;150000;6
E_500_Avantgarde_AMG_Ausstattung;7500;2002;306;150000;4
Audi_A8_3.0_TDI_quattro;7499;2004;232;150000;3
530d_XDRIVE_235_PS;7300;2009;235;100000;3
Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline;7000;2006;105;100000;10
Mini_One_Pepper_Scheckheftgepflegt;6990;2007;95;100000;8
Honda_Civic_1.4_i_VTEC_Comfort;6900;2008;99;60000;11
Fiesta_Titanium_1.25;6800;2009;82;60000;12
VW_Golf_V_Plus_TDI_1_8;6600;2006;105;150000;10
Audi_a4_2.5_TDI_Tausch_moeglich;6500;2004;163;150000;4
VW_t5_kastenwagen;6450;2008;84;150000;12
Citroen_C4_Grand_Picasso.;5555;2017;125;125000;4
Skoda_Fabia_1.2;5500;2010;60;70000;4
Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._T?V/AU_NEU;5000;2006;109;150000;4
Opel_signum_1.9_cdti;4700;2005;0;150000;0
OPEL_COMBO_2008__T?V_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG;4290;2008;0;150000;2
Smart_For_two_Klima_regensensor_uSw;3900;2008;61;80000;6
Volkswagen_Passat_1.9_TDI;3850;2003;131;150000;5
BMW_530i_T?V_7/17_Scheckheftgepflegt_sehr_guter_Zustand;3699;2002;231;150000;7
Skoda_Fabia_1.4_TDI_PD_Classic;3600;2008;69;90000;7
Mercedes_Benz_E_200_CDI_Automatik_Classic;3500;2004;122;150000;11
Audi_TT_Coupe_1.8_T_quattro;3399;1999;224;150000;9
Mercedes_Benz_E_250_D_Original_Zustand_!!;3300;1995;113;150000;1
Mercedes_Benz_C_220_T_CDI_Avantgarde;3300;2005;150;150000;9
Smart_Cabrio_T?V_bis_07/17;3000;2006;61;80000;1
Renault_Scenic;2990;2004;113;150000;12
Opel_Meriva_1.Hand_T?V_3.2018;2900;2018;90;150000;5
Volkswagen_Passat_Variant_2.0_TDI_Comfortline;2799;2005;140;150000;12
VW_PASSAT_1.9_TDI_131_PS_LEDER;2500;2004;131;150000;2
BMW_530d_touring_Vollausstattung_NAVI;2500;2002;193;150000;9
A4_Diesel_Leder_Top___NAVI;2400;2003;0;150000;9
Seat_inca_1.9SDI___LKW_Zulassung___T?V_NEU;2399;2018;64;125000;3
BMW_520i_E39;2300;1997;150;150000;3
Peugeot_206_CC_110_Platinum;2200;2004;109;150000;8
BMW_528i_touring;2100;1998;193;150000;2
Honda_HRV_reserviert!!!;2100;2000;105;150000;8
Mazda_3_1.6_Sport;2000;2004;105;150000;12
Fiat_punto_5_tuerer__6_gang;2000;2017;90;150000;11
Volkswagen_T3_andere;1990;1981;50;5000;1
Mercedes_Benz_A_160_Classic_Klima;1850;2004;102;150000;1
Mitsubishi_L_400;1800;2001;87;150000;7
Renault_Twingo_1.2_16V_Aut.;1750;2004;75;150000;2
Mercedes_A_Klasse____Top_Zustand___T?V/AU___neu_!_Halbautomatik;1700;1999;102;125000;11
Opel_Kadett_E_CC;1600;1991;75;70000;0
SUBARU_FORESTER;1600;1997;122;150000;10
GOLF_4_1_4__3T?RER;1500;2001;75;150000;6
Renault_Kangoo_1.9_Diesel;1500;2016;0;150000;1
Mercedes_Camper_D407;1500;1984;70;150000;8
Ford_Focus_Turnier_1.6_TDCi_DPF;1500;2006;109;150000;10
Verkaufe_meinen_kleinen_wegen_neu_Anschaffung;1400;2016;55;5000;1
MB_Vito_Transporter_108_CDI;1400;2003;82;150000;8
Volkswagen_Passat_Variant_1.6_Kombi_mit_T?V_und_AHK;1300;1997;101;150000;10
Mercedes_Benz_190;1280;1992;109;150000;9
Senator_A2__3_0E__180PS__CD_Ausstattung.;1222;1984;180;150000;3
Opel_astra_g_coupe_1.8_liter_benziner;1200;2001;0;150000;0
Volkswagen_Golf_1.6_Comfortline;1000;1998;101;150000;10
VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung;999;1998;101;150000;0
"VW_Passat_Facelift_35i__""7Sitzer""";999;1995;115;150000;11
verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift;900;1999;125;150000;7
Honda_Civic_EG4;900;1995;90;150000;3
Renault_clio_1.2_T?V_07/2016;899;2016;60;150000;6
Volkswagen_Polo;800;1993;0;150000;3
Golf_4_TDi_1_9.__3_tuerig;800;2000;90;150000;2
Ford_Fiesta;750;2002;50;150000;4
Fiat_Punto_1.2;690;2003;60;150000;3
BMW_316i___e36_Limousine___Bastlerfahrzeug__Export;650;1995;102;150000;10
BMW_316_automatikgetriebe_Klimaanlage;650;1997;102;150000;8
Ford_Escort_CLX;600;1994;75;100000;6
Renault_Clio_1.4;590;1999;75;125000;8
auto_opel_astra;550;1999;0;150000;8
MERCEDES_200E__T?V_04/2016;500;1990;118;150000;10
Audi_A4_B5_1_6_Liter;499;1995;101;150000;5
Golf_3_1.6;480;1993;0;150000;0
KA_Lufthansa_Edition_450?_VB;450;1910;0;5000;0
Stadtflitzer;450;1997;50;150000;5
VW_Golf_3;350;2016;75;150000;4
Bastler_Fahrzeug_mit_Rest_Tuev;350;1997;54;150000;3
Polo_6n_1_4;300;2016;60;150000;0
Ford_Escort_Cabrio;300;1992;105;150000;0
muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen;250;2000;155;150000;0
FORD_KA___T?V_ABGELAUFEN;250;2000;60;150000;0
Golf_3_....._1.4;245;1994;0;150000;2
Bmw_316i_compact.____200?;200;1995;102;150000;4
Opel_Astra_F_Cabrio;150;2016;75;150000;3
TAUSCHE_BMW_E38_740i_g._SUV_/_GEL?NDEWAGEN_LESEN_LESEN;1;1994;286;150000;11
MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1?;1;1995;113;150000;4
